TIPO_DE_ELECCIÓN:,CORPORACIÓN MUNICIPAL
26 junio 2023 13:58 (UTC -6)
ACTAS_ESPERADAS,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,VOTOS_EMITIDOS_CONTABILIZADAS,PORCENTAJE_PARTICIPACIÓN_CIUDADANA
113,66,58.4070,66,58.4070,0,24721,16980,68.6865

MESA,DEPARTAMENTO,ID_DEPARTAMENTO,MUNICIPIO,ID_MUNICIPIO,CENTRO_DE_VOTACIÓN,PADRÓN,FCN-NACION,AZUL,PHG,CABAL,MLP,VIVA,VAMOS,ELEFANTE,U R N G - MAIZ,TODOS,UNE,SEMILLA,PPN,VOS,VALOR,CREO,P A N,BIEN,VÁLIDOS,NULOS,BLANCO,EMITIDOS,INVÁLIDOS,TOTAL,IMPUGNACIONES,PAPELETAS-RECIBIDAS,PAPELETAS-NO-USADAS,VALIDOS_CALCULADO,EMITIDOS_CALCULADO,TOTAL_CALCULADO,OBSERVACIONES,CONTABILIZADA,CÓDIGO_INTEGRIDAD,FECHA_HORA_PUBLICACIÓN,DIGITALIZACIÓN
19932,"Alta Verapaz",16,"Cahabón",12,3069,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19933,"Alta Verapaz",16,"Cahabón",12,3069,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19934,"Alta Verapaz",16,"Cahabón",12,3069,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19935,"Alta Verapaz",16,"Cahabón",12,3070,380,31,1,47,4,1,10,74,0,4,0,85,7,2,0,11,1,0,2,280,19,14,313,0,313,--,381,68,280,313,313,Algún campo sin dato,1,06f24f10746d5b88856c63bec0b9db7f5b45c131e817a2dff2f72d23af968b53,26/06/2023 11:17:55,MOVIL
19936,"Alta Verapaz",16,"Cahabón",12,3070,380,16,3,27,4,0,10,101,0,0,0,89,16,0,2,13,0,0,0,281,24,11,316,--,--,--,380,64,281,316,316,Algún campo sin dato,1,d687c834369d93801142347744555e54c39573bd57e36f8ea9fd42b0e263eeae,26/06/2023 12:24:09,MOVIL
19937,"Alta Verapaz",16,"Cahabón",12,3070,380,24,4,42,0,1,18,71,5,3,0,82,7,1,0,23,0,1,2,284,19,14,317,0,317,--,376,59,284,317,317,Algún campo sin dato,1,a451de91484ba71232ef21637fdc958fff437b0993a89ffe8dbc6d4006d71503,26/06/2023 13:09:55,MOVIL
19938,"Alta Verapaz",16,"Cahabón",12,3070,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19939,"Alta Verapaz",16,"Cahabón",12,3071,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19940,"Alta Verapaz",16,"Cahabón",12,3071,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19941,"Alta Verapaz",16,"Cahabón",12,3072,380,17,2,41,3,0,15,58,0,2,0,80,2,0,1,18,0,0,1,240,10,8,258,0,258,0,381,123,240,258,258,,1,880880193cf81860e31bff793c849f896a9ed4ea6ec9b8cdccc9d32d7c9bb1ed,26/06/2023 06:41:19,MOVIL
19942,"Alta Verapaz",16,"Cahabón",12,3072,380,24,1,27,0,0,16,55,1,0,0,67,2,0,0,17,0,0,0,210,18,7,235,0,235,0,380,145,210,235,235,,1,e801cd07f84a2e88bc0ad9c26af33fefa7811628f82bf7c023be7cce024808e3,26/06/2023 06:46:16,MOVIL
19943,"Alta Verapaz",16,"Cahabón",12,3073,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19944,"Alta Verapaz",16,"Cahabón",12,3073,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19945,"Alta Verapaz",16,"Cahabón",12,3074,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19946,"Alta Verapaz",16,"Cahabón",12,3074,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19947,"Alta Verapaz",16,"Cahabón",12,3075,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19948,"Alta Verapaz",16,"Cahabón",12,3075,380,5,6,25,2,0,21,61,0,6,0,109,23,1,1,17,1,0,4,282,10,8,300,1,301,--,377,75,282,300,301,Algún campo sin dato,1,f9dc7e675c316b83b3c0268b22f75d0dfd876391bc0736c01ab44494dbd51f4b,26/06/2023 12:21:25,MOVIL
19949,"Alta Verapaz",16,"Cahabón",12,3075,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19950,"Alta Verapaz",16,"Cahabón",12,3076,380,18,0,28,14,1,17,48,0,1,1,91,27,0,0,11,0,0,2,259,21,5,285,0,285,--,380,95,259,285,285,Algún campo sin dato,1,c36d2f8398562054feaf08fd307c8c4a0fc8a558ea8eb1264dbef9a2a74c8d23,26/06/2023 12:17:57,MOVIL
19951,"Alta Verapaz",16,"Cahabón",12,3077,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
19952,"Alta Verapaz",16,"Cahabón",12,3077,380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
